hour,PL,DE,LT,SE
2012-07-12 19:00:00,0.145,0.221,0.177,0.276
2012-07-12 20:00:00,0.157,0.226,0.227,0.313
2012-07-12 21:00:00,0.152,0.244,0.293,0.273
2012-07-12 22:00:00,0.166,0.253,0.212,0.254
2012-07-12 23:00:00,0.14,0.387,0.119,0.252
2012-07-13 00:00:00,0.143,0.434,0.12,0.25
2012-07-13 01:00:00,0.17,0.469,0.11,0.275
2012-07-13 02:00:00,0.2,0.522,0.067,0.298
2012-07-13 03:00:00,0.244,0.497,0.051,0.272
2012-07-13 04:00:00,0.279,0.49,0.054,0.269
2012-07-13 05:00:00,0.332,0.429,0.089,0.296
2012-07-13 06:00:00,0.364,0.35,0.097,0.267
2012-07-13 07:00:00,0.352,0.317,0.129,0.264
2012-07-13 08:00:00,0.267,0.323,0.254,0.254
2012-07-13 09:00:00,0.215,0.346,0.308,0.263
2012-07-13 10:00:00,0.274,0.399,0.25,0.32
2012-07-13 11:00:00,0.195,0.466,0.116,0.235
2012-07-13 12:00:00,0.199,0.531,0.106,0.241
2012-07-13 13:00:00,0.198,0.579,0.086,0.269
2012-07-13 14:00:00,0.239,0.626,0.069,0.307
2012-07-13 15:00:00,0.232,0.694,0.077,0.342
2012-07-13 16:00:00,0.224,0.724,0.091,0.374
2012-07-13 17:00:00,0.236,0.749,0.104,0.419
2012-07-13 18:00:00,0.271,0.801,0.108,0.413
2012-07-13 19:00:00,0.303,0.801,0.13,0.419
2012-07-13 20:00:00,0.305,0.795,0.188,0.409
2012-07-13 21:00:00,0.291,0.767,0.272,0.388
2012-07-13 22:00:00,0.328,0.734,0.343,0.386
2012-07-13 23:00:00,0.376,0.729,0.365,0.394
2012-07-14 00:00:00,0.505,0.679,0.377,0.417
2012-07-14 01:00:00,0.724,0.599,0.372,0.432
2012-07-14 02:00:00,0.774,0.515,0.557,0.426
2012-07-14 03:00:00,0.764,0.419,0.611,0.421
2012-07-14 04:00:00,0.789,0.352,0.564,0.438
2012-07-14 05:00:00,0.8,0.268,0.65,0.428
2012-07-14 06:00:00,0.732,0.178,0.699,0.4
2012-07-14 07:00:00,0.746,0.123,0.678,0.447
2012-07-14 08:00:00,0.795,0.093,0.718,0.471
2012-07-14 09:00:00,0.821,0.083,0.783,0.473
2012-07-14 10:00:00,0.81,0.081,0.819,0.483
2012-07-14 11:00:00,0.609,0.058,0.766,0.398
2012-07-14 12:00:00,0.626,0.049,0.751,0.416
2012-07-14 13:00:00,0.555,0.051,0.724,0.41
2012-07-14 14:00:00,0.38,0.064,0.633,0.35
2012-07-14 15:00:00,0.274,0.086,0.513,0.343
2012-07-14 16:00:00,0.188,0.111,0.405,0.326
2012-07-14 17:00:00,0.137,0.13,0.281,0.319
2012-07-14 18:00:00,0.137,0.14,0.188,0.332
2012-07-14 19:00:00,0.165,0.136,0.163,0.329
